,emoji,sentiment,re_emoji
375,太开心r,pos,太开心r
376,羞嗒嗒r,pos,羞嗒嗒r
377,鲜花r,pos,鲜花r
378,开学季r,pos,开学季r
379,偷笑r,pos,偷笑r
380,馋嘴r,pos,馋嘴r
381,色r,pos,色r
382,可爱r,pos,可爱r
383,给你小心心r,pos,给你小心心r
384,赢牛奶r,pos,赢牛奶r
385,抱一抱r,pos,抱一抱r
386,好喜欢r,pos,好喜欢r
387,兔子r,pos,兔子r
388,微笑r,pos,微笑r
389,舔屏r,pos,舔屏r
390,超话r,pos,超话r
391,抱抱r,pos,抱抱r
392,坏笑r,pos,坏笑r
393,awslr,pos,awslr
394,挤眼r,pos,挤眼r
395,可怜r,pos,可怜r
396,好爱哦r,pos,好爱哦r
397,酷r,pos,酷r
398,加油r,pos,加油r
399,笑而不语r,pos,笑而不语r
400,求关注r,pos,求关注r
401,跪了r,pos,跪了r
402,耶r,pos,耶r
403,亲亲r,pos,亲亲r
404,赞啊r,pos,赞啊r
405,单身狗r,neu,单身狗r
406,害羞r,pos,害羞r
407,并不简单r,pos,并不简单r
408,春游家族r,pos,春游家族r
409,玉兔r,pos,玉兔r
410,米奇比心r,pos,米奇比心r
411,笑哈哈r,pos,笑哈哈r
412,拳头r,pos,拳头r
413,给力r,pos,给力r
414,偷乐r,pos,偷乐r
415,中国赞r,pos,中国赞r
416,作揖r,pos,作揖r
417,思考r,pos,思考r
418,微风r,pos,微风r
419,小红花r,pos,小红花r
420,吃瓜r,pos,吃瓜r
421,求饶r,pos,求饶r
422,汗r,neu,汗r
423,酸r,pos,酸r
424,hahar,pos,hahar
425,蛋糕r,pos,蛋糕r
426,太阳r,pos,太阳r
427,裂开r,neu,裂开r
428,奥特曼r,pos,奥特曼r
429,挖鼻r,pos,挖鼻r
430,阴险r,pos,阴险r
431,费解r,neu,费解r
432,摊手r,neu,摊手r
433,杰瑞r,pos,杰瑞r
434,黑线r,neu,黑线r
435,吐r,neg,吐r
436,怒r,neg,怒r
437,okr,pos,okr
438,疑问r,neu,疑问r
439,威武r,pos,威武r
440,委屈r,pos,委屈r
441,干杯r,pos,干杯r
442,迷雾剧场r,pos,迷雾剧场r
443,掌宝荧光棒r,pos,掌宝荧光棒r
444,牛哞哞r,pos,牛哞哞r
445,掌宝爱心r,pos,掌宝爱心r
446,傻眼r,neu,傻眼r
447,握手r,pos,握手r
448,晕r,neu,晕r
449,哆啦A梦微笑r,pos,哆啦A梦微笑r
450,拜拜r,pos,拜拜r
451,哆啦A梦吃惊r,pos,哆啦A梦吃惊r
452,暖一下r,pos,暖一下r
453,礼物r,pos,礼物r
454,伤心r,neg,伤心r
455,航天员r,pos,航天员r
456,熊猫r,pos,熊猫r
457,桃花r,pos,桃花r
458,嘘r,pos,嘘r
459,围观r,pos,围观r
460,哈欠r,neu,哈欠r
461,哆啦A梦害怕r,neu,哆啦A梦害怕r
462,左哼哼r,neu,左哼哼r
463,月亮r,pos,月亮r
464,来r,pos,来r
465,钢铁侠r,pos,钢铁侠r
466,右哼哼r,neu,右哼哼r
467,吃惊r,neu,吃惊r
468,飞机r,pos,飞机r
469,怒骂r,neg,怒骂r
470,带着微博去旅行r,pos,带着微博去旅行r
471,猪头r,pos,猪头r
472,NOr,neu,NOr
473,互粉r,pos,互粉r
474,蜡烛r,pos,蜡烛r
475,音乐r,pos,音乐r
476,五仁月饼新r,pos,五仁月饼新r
477,大侦探皮卡丘微笑r,pos,大侦探皮卡丘微笑r
478,浩克r,pos,浩克r
479,哆啦A梦花心r,pos,哆啦A梦花心r
480,感冒r,neu,感冒r
481,钱r,pos,钱r
482,浮云r,pos,浮云r
483,男孩儿r,pos,男孩儿r
484,弗莱见钱眼开r,pos,弗莱见钱眼开r
485,圆月r,pos,圆月r
486,美国队长r,pos,美国队长r
487,顶r,neu,顶r
488,生而为赢r,pos,生而为赢r
489,女孩儿r,pos,女孩儿r
490,浪r,pos,浪r
491,蜘蛛侠r,pos,蜘蛛侠r
492,惊奇队长r,pos,惊奇队长r
493,话筒r,pos,话筒r
494,掌宝加油r,pos,掌宝加油r
495,鹰眼r,pos,鹰眼r
496,奇异博士r,pos,奇异博士r
497,困r,neu,困r
498,马到成功r,pos,马到成功r
499,開學季r,pos,開學季r
500,圣诞老人r,pos,圣诞老人r
501,大雄微笑r,pos,大雄微笑r
502,伴我同行r,pos,伴我同行r
503,ali亲一个r,pos,ali亲一个r
504,爱心r,pos,爱心r
505,炸鸡啤酒r,pos,炸鸡啤酒r
506,米奇飞吻r,pos,米奇飞吻r
507,呵呵r,pos,呵呵r
508,牛轰轰拥抱r,pos,牛轰轰拥抱r
509,ali美好r,pos,ali美好r
510,嘿哈r,pos,嘿哈r
511,红灯笼r,pos,红灯笼r
512,吃狗粮r,pos,吃狗粮r
513,冰雪奇缘雪宝r,pos,冰雪奇缘雪宝r
514,米奇爱你r,pos,米奇爱你r
515,可愛r,pos,可愛r
